"","college","private","applied","accepted","graduation.rate","acception.rate"
"1","Abilene Christian University","Yes",1660,1232,60,0.742168674698795
"2","Adelphi University","Yes",2186,1924,56,0.880146386093321
"3","Adrian College","Yes",1428,1097,54,0.768207282913165
"4","Agnes Scott College","Yes",417,349,59,0.836930455635492
"5","Alaska Pacific University","Yes",193,146,15,0.756476683937824
"6","Albertson College","Yes",587,479,55,0.816013628620102
"7","Albertus Magnus College","Yes",353,340,63,0.963172804532578
"8","Albion College","Yes",1899,1720,73,0.905739863085835
"9","Albright College","Yes",1038,839,80,0.808285163776493
"10","Alderson-Broaddus College","Yes",582,498,52,0.855670103092783
"11","Alfred University","Yes",1732,1425,73,0.822748267898383
"12","Allegheny College","Yes",2652,1900,76,0.716440422322775
"13","Allentown Coll. of St. Francis de Sales","Yes",1179,780,74,0.661577608142494
"14","Alma College","Yes",1267,1080,68,0.85240726124704
"15","Alverno College","Yes",494,313,55,0.633603238866397
"16","American International College","Yes",1420,1093,69,0.769718309859155
"17","Amherst College","Yes",4302,992,100,0.230590423059042
"18","Anderson University","Yes",1216,908,59,0.74671052631579
"19","Andrews University","Yes",1130,704,46,0.623008849557522
"20","Angelo State University","No",3540,2001,34,0.565254237288136
"21","Antioch University","Yes",713,661,48,0.927068723702665
"22","Appalachian State University","No",7313,4664,70,0.63776835771913
"23","Aquinas College","Yes",619,516,65,0.833602584814216
"24","Arizona State University Main campus","No",12809,10308,48,0.804746662502928
"25","Arkansas College (Lyon College)","Yes",708,334,54,0.471751412429379
"26","Arkansas Tech University","No",1734,1729,48,0.997116493656286
"27","Assumption College","Yes",2135,1700,88,0.796252927400468
"28","Auburn University-Main Campus","No",7548,6791,69,0.899708532061473
"29","Augsburg College","Yes",662,513,58,0.774924471299094
"30","Augustana College IL","Yes",1879,1658,71,0.882384246939862
"31","Augustana College","Yes",761,725,69,0.9526938239159
"32","Austin College","Yes",948,798,71,0.841772151898734
"33","Averett College","Yes",627,556,48,0.886762360446571
"34","Baker University","Yes",602,483,65,0.802325581395349
"35","Baldwin-Wallace College","Yes",1690,1366,85,0.808284023668639
"36","Barat College","Yes",261,192,71,0.735632183908046
"37","Bard College","Yes",1910,838,79,0.438743455497382
"38","Barnard College","Yes",2496,1402,91,0.561698717948718
"39","Barry University","Yes",990,784,72,0.791919191919192
"40","Baylor University","Yes",6075,5349,72,0.880493827160494
"41","Beaver College","Yes",1163,850,73,0.730868443680138
"42","Bellarmine College","Yes",807,707,84,0.876084262701363
"43","Belmont Abbey College","Yes",632,494,52,0.781645569620253
"44","Belmont University","Yes",1220,974,49,0.798360655737705
"45","Beloit College","Yes",1320,923,69,0.699242424242424
"46","Bemidji State University","No",1208,877,46,0.725993377483444
"47","Benedictine College","Yes",632,620,58,0.981012658227848
"48","Bennington College","Yes",519,327,55,0.630057803468208
"49","Bentley College","Yes",3466,2330,82,0.672244662435084
"50","Berry College","Yes",1858,1221,63,0.657158234660926
"51","Bethany College","Yes",878,816,48,0.929384965831435
"52","Bethel College KS","Yes",202,184,56,0.910891089108911
"53","Bethel College","Yes",502,384,35,0.764940239043825
"54","Bethune Cookman College","Yes",1646,1150,58,0.698663426488457
"55","Birmingham-Southern College","Yes",805,588,72,0.730434782608696
"56","Blackburn College","Yes",500,336,51,0.672
"57","Bloomsburg Univ. of Pennsylvania","No",6773,3028,75,0.447069245533737
"58","Bluefield College","Yes",377,358,53,0.949602122015915
"59","Bluffton College","Yes",692,514,58,0.742774566473988
"60","Boston University","Yes",20192,13007,72,0.644166006339144
"61","Bowdoin College","Yes",3356,1019,96,0.303635280095352
"62","Bowling Green State University","No",9251,7333,67,0.792671062587828
"63","Bradford College","Yes",443,330,46,0.744920993227991
"64","Bradley University","Yes",3767,3414,85,0.90629147863021
"65","Brandeis University","Yes",4186,2743,84,0.65527950310559
"66","Brenau University","Yes",367,274,49,0.746594005449591
"67","Brewton-Parker College","Yes",1436,1228,18,0.855153203342618
"68","Briar Cliff College","Yes",392,351,58,0.895408163265306
"69","Bridgewater College","Yes",838,673,82,0.803102625298329
"70","Brigham Young University at Provo","Yes",7365,5402,33,0.73346911065852
"71","Brown University","Yes",12586,3239,97,0.257349435881138
"72","Bryn Mawr College","Yes",1465,810,89,0.552901023890785
"73","Bucknell University","Yes",6548,3813,93,0.582315210751374
"74","Buena Vista College","Yes",860,688,78,0.8
"75","Butler University","Yes",2362,2037,83,0.862404741744284
"76","Cabrini College","Yes",599,494,71,0.824707846410685
"77","Caldwell College","Yes",1011,604,55,0.597428288822948
"78","California Lutheran University","Yes",563,247,60,0.438721136767318
"79","California Polytechnic-San Luis","No",7811,3817,59,0.488669824606324
"80","California State University at Fresno","No",4540,3294,61,0.725550660792951
"81","Calvin College","Yes",1784,1512,81,0.847533632286996
"82","Campbell University","Yes",2087,1339,63,0.641590800191663
"83","Campbellsville College","Yes",848,587,49,0.692216981132076
"84","Canisius College","Yes",2853,2193,64,0.768664563617245
"85","Capital University","Yes",1747,1382,83,0.79107040641099
"86","Capitol College","Yes",100,90,52,0.9
"87","Carleton College","Yes",2694,1579,91,0.58611729769859
"88","Carnegie Mellon University","Yes",8728,5201,74,0.59589825847846
"89","Carroll College","Yes",1160,991,79,0.854310344827586
"90","Carson-Newman College","Yes",1096,951,67,0.867700729927007
"91","Carthage College","Yes",1616,1427,62,0.883044554455445
"92","Case Western Reserve University","Yes",3877,3156,67,0.81403146762961
"93","Castleton State College","No",1257,940,79,0.747812251392204
"94","Catawba College","Yes",1083,880,55,0.812557710064635
"95","Catholic University of America","Yes",1754,1465,75,0.835233751425314
"96","Cazenovia College","Yes",3847,3433,118,0.89238367559137
"97","Cedar Crest College","Yes",776,607,74,0.782216494845361
"98","Cedarville College","Yes",1307,1090,64,0.833970925784239
"99","Centenary College","Yes",369,312,24,0.845528455284553
"100","Centenary College of Louisiana","Yes",495,434,66,0.876767676767677
"101","Center for Creative Studies","Yes",601,396,47,0.658901830282862
"102","Central College","Yes",1283,1113,67,0.867498051441933
"103","Central Connecticut State University","No",4158,2532,49,0.608946608946609
"104","Central Missouri State University","No",4681,4101,50,0.876094851527451
"105","Central Washington University","No",2785,2011,51,0.722082585278277
"106","Central Wesleyan College","Yes",174,146,58,0.839080459770115
"107","Centre College","Yes",1013,888,74,0.876604146100691
"108","Chapman University","Yes",959,771,47,0.803962460896767
"109","Chatham College","Yes",212,197,52,0.929245283018868
"110","Chestnut Hill College","Yes",342,254,73,0.742690058479532
"111","Christendom College","Yes",81,72,58,0.888888888888889
"112","Christian Brothers University","Yes",880,520,63,0.590909090909091
"113","Christopher Newport University","No",883,766,48,0.867497168742922
"114","Claflin College","Yes",1196,697,21,0.582775919732441
"115","Claremont McKenna College","Yes",1860,767,87,0.412365591397849
"116","Clark University","Yes",2887,2059,79,0.713197090405265
"117","Clarke College","Yes",460,340,74,0.739130434782609
"118","Clarkson University","Yes",2174,1953,77,0.89834406623735
"119","Clemson University","No",8065,5257,73,0.651828890266584
"120","Clinch Valley Coll. of  the Univ. of Virginia","No",689,561,46,0.81422351233672
"121","Coe College","Yes",1006,742,67,0.737574552683897
"122","Coker College","Yes",604,452,75,0.748344370860927
"123","Colby College","Yes",2848,1319,91,0.46313202247191
"124","Colgate University","Yes",4856,2492,93,0.513179571663921
"125","College Misericordia","Yes",1432,888,96,0.620111731843575
"126","College of Charleston","No",4772,3140,51,0.658005029337804
"127","College of Mount St. Joseph","Yes",798,620,100,0.776942355889724
"128","College of Mount St. Vincent","Yes",946,648,83,0.684989429175476
"129","College of Notre Dame","Yes",344,264,43,0.767441860465116
"130","College of Notre Dame of Maryland","Yes",457,356,75,0.778993435448578
"131","College of Saint Benedict","Yes",938,864,72,0.921108742004264
"132","College of Saint Catherine","Yes",511,411,77,0.804305283757339
"133","College of Saint Elizabeth","Yes",444,359,78,0.808558558558559
"134","College of Saint Rose","Yes",983,664,64,0.675483214649034
"135","College of Santa Fe","Yes",546,447,80,0.818681318681319
"136","College of St. Joseph","Yes",141,118,76,0.836879432624113
"137","College of St. Scholastica","Yes",672,596,72,0.886904761904762
"138","College of the Holy Cross","Yes",2994,1691,95,0.564796259185037
"139","College of William and Mary","No",7117,3106,93,0.436419839820149
"140","College of Wooster","Yes",2100,1883,69,0.896666666666667
